Brand,Price,Year,Transmission,Capacity,Mileage,Published_Date,USD_Rate,Fuel_Price,Crude_Oil_Price
Bajaj CT-100,240000,2016,Manual,100,45000,9/8/2021,199.73,157,13799.35
Bajaj CT-100,242000,2016,Manual,100,45000,10/23/2021,201.35,157,15807.99
Bajaj CT-100,243000,2016,Manual,100,40000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,243000,2017,Manual,100,29000,11/2/2021,201.98,157,15441.37
Bajaj Ct-100,243000,2016,Automatic,100,38000,10/28/2021,201.93,157,15853.52
Bajaj CT-100,245000,2017,Manual,99,30000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,245000,2015,Manual,100,58000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,245000,2017,Manual,100,58665,11/3/2021,201.45,157,15400.85
Bajaj CT-100,245000,2016,Manual,100,40800,11/1/2021,201.98,157,15441.37
Bajaj CT-100,245000,2017,Automatic,100,17000,10/31/2021,202.07,157,15864.52
Bajaj CT-100,245000,2017,Manual,100,22019,10/30/2021,202.05,157,15862.95
Bajaj CT-100,245000,2017,Manual,110,19000,10/29/2021,202.05,157,15862.95
Bajaj CT-100,245000,2016,Manual,100,51200,10/20/2021,200.54,157,15744.4
Bajaj CT-100,245000,2016,Manual,100,54000,10/19/2021,201,157,15780.51
Bajaj CT-100,245000,2015,Manual,150,58000,10/17/2021,202.03,157,15861.38
Bajaj CT-100,245000,2016,Manual,100,45000,10/14/2021,200.98,157,15778.94
Bajaj CT-100,245000,2016,Manual,100,12000,10/4/2021,200.01,157,15702.79
Bajaj CT-100,245000,2016,Manual,100,50000,10/3/2021,199.68,157,15676.88
Bajaj CT-100,245000,2015,Manual,100,46356,9/28/2021,199.76,157,13801.42
Bajaj CT-100,245000,2016,Manual,100,40000,9/27/2021,200.05,157,13821.45
Bajaj CT-100,245000,2016,Manual,100,42000,9/25/2021,199.72,157,13798.65
Bajaj CT-100,245000,2016,Manual,100,45439,9/12/2021,199.74,157,13800.04
Bajaj CT-100,248000,2017,Manual,100,42000,11/1/2021,201.98,157,15441.37
Bajaj Ct-100,248000,2017,Manual,100,48000,10/28/2021,201.93,157,15853.52
Bajaj CT-100,248000,2017,Manual,100,24850,10/21/2021,200.46,157,15738.11
Bajaj Ct-100,249000,2015,Manual,100,23000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,249500,2015,Automatic,100,13600,10/27/2021,201.49,157,15818.98
Bajaj CT-100,250000,2016,Manual,100,6500,11/3/2021,201.45,157,15400.85
Bajaj CT-100,250000,2017,Manual,100,29000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,250000,2016,Manual,100,38000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,250000,2018,Manual,100,45000,11/2/2021,201.98,157,15441.37
